timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594391605429,150,catalog-0,200,,jp@gc - Ultimate Thread Group 1-721,text,true,,13351,285,982,982,http://localhost:8082/books/,149,0,1
1594391603390,477,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-515,,true,,19661,287,982,982,null,0,1713,0
1594391605103,477,book-0,200,,jp@gc - Ultimate Thread Group 1-515,text,true,,19661,287,982,982,http://localhost:8082/books/26,476,0,1
1594391604765,161,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-692,,true,,13351,285,982,982,null,0,654,0
1594391605419,161,catalog-0,200,,jp@gc - Ultimate Thread Group 1-692,text,true,,13351,285,982,982,http://localhost:8082/books/,161,0,1
1594391602756,42,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-725,,true,,13351,285,982,982,null,0,2783,0
1594391605539,42,catalog-0,200,,jp@gc - Ultimate Thread Group 1-725,text,true,,13351,285,982,982,http://localhost:8082/books/,41,0,1
1594391602673,1230,logout,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-779,,true,,6977,756,982,982,null,0,1681,0
1594391604354,1230,logout-0,200,,jp@gc - Ultimate Thread Group 1-779,text,true,,6977,756,982,982,http://localhost:8082/,87,0,1
1594391602804,203,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-958,,true,,18757,287,982,982,null,0,2578,0
1594391605382,203,book-0,200,,jp@gc - Ultimate Thread Group 1-958,text,true,,18757,287,982,982,http://localhost:8082/books/11,203,0,1
1594391603786,236,logout,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-659,,true,,6977,756,982,982,null,0,1565,0
1594391605351,236,logout-0,200,,jp@gc - Ultimate Thread Group 1-659,text,true,,6977,756,982,982,http://localhost:8082/,61,0,1
1594391600700,2007,review,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-931,,true,,23821,1436,982,982,null,0,2881,0
1594391600770,1734,review-0,200,,jp@gc - Ultimate Thread Group 1-931,text,true,,5248,1102,896,896,http://localhost:8082/login,957,0,0
1594391605315,273,review-1,200,,jp@gc - Ultimate Thread Group 1-931,text,true,,18573,334,982,982,http://localhost:8082/books/22,273,0,1
